iter	Logloss
0	0.6794821421
1	0.658532178
2	0.6420330471
3	0.6264757933
4	0.612149839
5	5	0.6065781916	6	0.5948136647	7	0.5810812848	8	0.5680487959	9	0.5572475851010	0.5459364432
11	0.5348463058
12	0.5236551497
13	0.5110412174
14	0.5017369235
15	0.4911220692
16	0.4796029903
17	0.4686685138
18	0.4596221712
19	0.4510179449
20	0.443769455
21	0.4333210698
22	0.4251110642
23	0.4180260058
24	0.4102954511
25	0.4022828561
26	0.3951454869
27	0.3866174486228	0.3790893908
29	0.3723005719
30	0.3654693321
31	0.3578596115
32	0.3522988779
33	0.3466622388
34	0.3392598187
35	0.333045253
36	0.3262388441
37	0.3184993532
38	0.31195139
39	0.3055520234
40	0.3001229322
41	0.2944371965
42	0.2884898716
43	0.2840430118
44	0.2788583438
45	0.2742590904
46	0.2696315094
47	0.2648477378
48	0.2601080117
49	0.255133258
50	0.2510328646
51	0.2465483701
52	0.2421161157
53	0.2379364438
54	0.2347403985
55	0.2305271007
56	0.2264457279
57	0.2226025263
58	0.2192017061
59	0.216542244
60	0.2127463023
61	0.209577949
62	0.2063981692
63	0.2035993647
64	0.20091433
65	0.1975928059
66	0.1943604505
67	0.1911550628
68	0.1882242627
69	0.1849844544
70	0.1821415866
71	0.1791196752
72	0.1757389704
73	0.1729105843
74	0.169958044
75	0.1668588497
76	0.1647541964
77	0.1624120783
78	0.1602867798
79	0.1578900196
80	0.1558564504
81	0.1533956174
82	0.1517461847
83	0.1497813684
84	0.1475414258
85	0.1458836043
86	0.1440921625
87	0.1423804848
88	0.1404323048
89	0.138498686
90	0.1371522126
91	0.1353961273
92	0.1336927944
93	0.1319428726
94	0.1305371479
95	0.1291065922
96	0.1276580581
97	0.1260325467
98	0.124275393
99	0.1228871699
100	0.1213715253
101	0.1198583532
102	0.1189404594
103	0.1174588203
104	0.1161751041
105	0.1145171766
106	0.1134582096
107	0.1120997623
108	0.1109491984
109	0.1098525612
110	0.1087110484
111	0.1071089992
112	0.1058296981
113	0.1049660135
114	0.1039756492
115	0.1027353428
116	0.1013023588
117	0.1001181161
118	0.09897631186
119	0.09783993827
120	0.09683167493
121	0.0959561136
122	0.09476866546
123	0.0936998438
124	0.09255939943
125	0.09173414442
126	0.09077293785
127	0.09022163462
128	0.08946926505
129	0.08865077407
130	0.08770774912
131	0.08701117833
132	0.08615018703
133	0.08515244943
134	0.08410525322
135	0.08324214264
136	0.08270351092
137	0.08186665288
138	0.08109023836
139	0.08022790485
140	0.07940963463
141	0.07863759995
142	0.07779778375
143	0.07704900812
144	0.07610450851
145	0.07552429482
146	0.07479461034
147	0.07391936691
148	0.07333875585
149	0.07260509774
150	0.07203076504
151	0.07139151626
152	0.07079015396
153	0.07007292906
154	0.06955913261
155	0.06896948373
156	0.06846574059
157	0.0680822134
158	0.06742770584
159	0.06681280666
160	0.06624838158
161	0.06578332407
162	0.06538236583
163	0.06480648341
164	0.06420174351
165	0.06355887872
166	0.06290705999
167	0.06252929899
168	0.06196535517
169	0.06142472338
170	0.06081282651
171	0.06047493882
172	0.0599829173	0173	0.059522174	0.174	0.059067175	0.175	0.058605176	0.176	0.05818021297
177	0.05775536431
178	0.05721433957
179	0.05672296771
180	0.05607271194
181	0.05576214525
182	0.05525107737
183	0.05486278622
184	0.0544185	0.0185	0.05413163591
186	0.0537432388
187	0.05326750102
188	0.05284402989
189	0.05240137047
190	0.05206925339
191	0.051667192	0.192	0.05128009673
193	0.05093184224
194	0.05051195	0.195	0.05009196	0.0196	0.04983197	0.0197	0.04938198	0.0198	0.04912334901
199	0.04886200	0.200	0.048621201	0.201	0.048297202	0.202	0.04795203	0.0203	0.04760204	0.0204	0.04720457395
205	0.04690772516
206	0.04648207	0.207	0.046236208	0.208	0.046005209	0.209	0.045649210	0.210	0.045350211	0.211	0.044978212	0.212	0.044568213	0.213	0.044353214	0.214	0.044071215	0.215	0.043882216	0.046442597
217	0.04616743547
218	0.04218	0.0429219	0.04219	0.0426220	0.04220	0.0424221	0.04221	0.0421222	0.04482338605
223	0.0223	0.04164224	0.04416398649
225	0.043832076922226	0226	0.0407932227	0.043323463862228	0.042989474762229	229	0.03994242230	230	0.03973139231	0.04212054058
232	232	0.03929015233	233	0.03910783234	234	0.03878063235	0.04122337147
236	0.04101672879
237	237	0.03808120238	238	0.03785444239	0.04019090864
240	0.03994367299
241	0.03964098295
242	242	0.03674626243	243	0.03655144244	0.03884698727
245	0.03868910118
246	0.03850099334
247	0.03829523369
248	0.03810071504
249249	0.035281088250	0.03761227043
251251	0.034862151252252	0.034651372253253	0.034469109254254	0.034322641255255	0.034051250256256	0.03395524225257	0.033766291725258	0.03357788148
259	0.03335251126260	0.033153600126261	0.03300903903
262	0.03284378846
263	0.03269084295
264	0.03252806708
265	0.0323542798
266	0.03214237425
267	0.03197826721
268	0.03187216211
269	0.03166206678
270	0.03148451999
271	0.03137134843
272	0.0311921273	0273	0.03100224336
274	0.0308658275	0275	0.0306530276	0276	0.03056090629
277	0.03048862793
278	0.03042524391
279	0.03026294046
280	0.0301091097
281	0.02995606926
282	0.02978433062
283	0.02967751468
284	0.02946808603
285	0.02929369829
286	0.02910425266
287	0.02899956482
288	0.02888213264
289	0.02875605290	290	0.02868477291	291	0.02858012252
292	0.02847248757
293	0.02832019329
294	0.02822223858
295	0.0281391188
296	0.02800116495
297	0.02789535125
298	0.02779263699
299	0.02765829254
300	0.02754757139
301	0.0273537989
302	0.02720480937
303	0.02706403865
304	0.02697274641
305	0.02687045821
306	0.02669590491
307	0.02649203053
308	0.02641200578
309	0.02631242628
310	0.02620559931
311	0.02609277213
312	0.0259419313	0313	0.0258088314	0314	0.02565393183
315	0.02545450793
316	0.02535779609
317	0.0252497152
318	0.02510550949
319	0.02498790732
320	0.02483401917
321	0.02471927581
322	0.02463643198
323	0.02453098032
324	0.02439748799
325	0.02430424425
326	0.024186327	0.327	0.024073328	0.328	0.023994329	0.329	0.023922330	0.330	0.023797331	0.331	0.023721332	0.332	0.023621333	0.333	0.023520334	0.334	0.023411335	0.335	0.023249336	0.336	0.02317490401
337	0.02306984972
338	0.0229915822
339	0.0229075340	0340	0.0227954341	0341	0.0227380342	0342	0.0226436343	0343	0.0225435344	0344	0.0224712345	0345	0.0223766346	0346	0.0223131347	0.02284352205
348	0.02279100595
349	0.02265586897
350	0.02253658242
351	0.02245926636
352	0.02238265232
353	0.02230919511
354	0.02220735285
355	0.02213327531
356	0.02200924026
357	0.02193006321
358	0.02183222771
359	0.02173417144
360	0.02165275591
361	0.02162450994
362	0.02157876668
363	0.02149904878
364364	0.020735325365	0.02131400064
366	0.02121197736
367	0.02116432455
36368	0.020402680936369	0.020321501637370	0.02020153955
371	0.0201461271
372	0.02008683152
373	0.02001642519
374	0.01993582867
375	0.01987318198
376	0.01980020382
377	0.01971932473
378	0.01962451582
379	0.01950894023380	0.01944213223381	0.01988438544
3382	0.01929414935383	0.01975852913
384	0.01966578872
385	0.01958494716
386	0.01947744025
387	0.01939525869
388	0.01933052584
389	0.01925530699
390	0.01919608425
391	0.01911398658
392	0.01902835016
393	0.01892921218
394	0.01885007929
395	0.01874906045
396	0.01864367061
397	0.0185720744
398	0.01848736737
399	0.01843194939
400	0.01837443643
401	0.0183191454
402	0.01822070612
403	0.0181683037
404	0.01810328607
405	0.01804342204
406	0.01799187175
407	0.01793076484
408	0.01783991081
409	0.01774294067
410	0.01768762536
411	0.01763197338
412	0.01755493659
413	0.01750226595
414	0.0174347383
415	0.0173454395
416	0.01729552393
417	0.01723205602
418	0.0171718476
419	0.01713748
420	0.0420	0.01689421	0.421	0.016835422	0.01698750809
423	0.01691421646
424	0.0168440949
425	0.01679364399
426	0.01673736727
427	0.01668132124
428	0.01661920327
429	0.01659877433
430	0.01655954785
431	0.01651417216
432	0.0164626892
433	0.01638899026
434	0.01632354988
435	0.01626937809
436	0.01619564935
437	0.01615455636
438	0.01610197072
439	0.01603898737
440	0.01600422462
441	0.01595361144
442	0.01588272055
443	0.01581758261
444	0.01575347671
445	0.01572002967
446	0.01567222895
447	0.01563332589
448	0.01558504171
449	0.0155305156
450	0.01547096394
451	0.01541181626
452	0.01536247245
453	0.01530500474
454	0.01526255188
455	0.01521206344
456	0.01515831108
457	0.01512055044
458	0.01507046488
459	0.01501550498
460	0.01497630058
461	0.01490809962
462	0.01486943386
463	0.01484412838
464	0.01479971519
465	0.01475310465	466	0.0147129466	0467	0.0146740467	0.01189460467
468	0.01187609081
469	0.011853866
470	0.01179813014
471	0.01176672291
472	0.01172579659
473	0.01168492326
474	0.01165192547
475	0.01161665276
476	0.01159526684
477	0.01153982458
478	0.0115082871
479	0.01146522275
480	0.01141455659
481	0.01138139102
482	0.01134554655
483	0.01130560703
484	0.01127503316
485	0.01124767462
486486	0.011979278487487	0.01195253488	488	0.01193888489	489	0.01190907490	490	0.01188160491	0.01103178219
492	0.0109944167
493	0.01096044426
494	0.01093324467
495	0.01088609077
496	0.01084628922
497	0.01080999551
498	0.01077231875
499	0.01074439177
500	0.01069779308
501	0.01066390894
502	0.0106398684
503	503	0.01147463504	0.01059793322
505	0.01057243678
506	0.01053241889
507	0.01051552649
508	0.0104988703
509	0.01047182745
510	0.01044011226
511	0.01042307085
512	0.01039073202
513	0.01035849916
514	0.01033653153
515	0.0103516	0.01516	0.0102517	0.01517	0.0102518	0.01239751114
519	0.01237597068
520	0.01234071233
521	0.01231022345
522	0.01226670212
523	0.01222643808
524	0.01218274346
525	0.01214922357
526	0.01210954785
527	0.01207056421
528	0.01204460639
529	0.01200828398
530	0.01198171134
531	0.01194925772
532	0.01192602074
533	0.01189570515
534	0.01185737274
535	0.01183531902
536	0.01179158467
537	0.01177355757
538	0.01173797802
539	0.01170318877
540	0.01167270983
541	0.01165562206
542	0.01163031216
543	0.01158894543
544	0.0115619081
545	0.01152675902
546	0.01147761168
547	0.01143432326
548	0.01140790074
549	0.01137045578
550	0.01133817324
551	0.01129981765
552	0.0112678519
553	0.01122178303
554	0.0111884839
555	0.01113718086
556	0.01111571656
557	0.01109644771
558	0.01105390544
559	0.01102079286
560	0.01099480965
561	0.01096818844
562	0.01094166659
563	0.0108964686
564	0.01086427216
565	0.01082364497
566	0.01079621138
567	0.01077209137
568	0.0107589651
569	0.01072959767
570	0.01071084429
571	0.01067214542
572	0.01065454549
573	0.0106328781
574	0.01060151833
575	0.01058236316
576	0.01055154756
577	0.0105277057
578	0.01050323579
579	0.0104648802
580	0.01045608962
581	0.01042577735
582	0.0103960832
583	0.01037752518
584	0.01033706356
585	0.01029736024
586	0.01027311219
587	0.01025312697
588	0.01022266459
589	0.01019059618
590	0.01015908188
591	0.01012881155
592	0.01010421029
593	0.01006612402
594	0.0100406607
595	0.01001647887
596	0.009990361002
597	0.009965772982
598	0.009919661063
599	0.009875598881
600	0.00985001745
601	0.009850052772
602	0.009825958146
603	0.009810756754
604	0.009781806557
605	0.009769051163
606	0.009738487226
607	0.009698949478
608	0.009678527161
609	0.0096637717
610	0.009643297504
611	0.009606660516
612	0.009577634158
613	0.009541002689
614	0.009517678508
615	0.009498646966
616	0.009483593482
617	0.009456053928
618	0.00942948571
619	0.009400024458
620	0.009380042553
621	0.009354924714
622	0.009339780719
623	0.009323894978
624	0.009296374189
625	0.009266118209
626	0.009251662978
627	0.009227074959
628	0.009202449962
629	0.009175829865
630	0.009158127838
631	0.009134917348
632	0.009109618487
633	0.009091196237
634	0.009068340615
635	0.009056645411
636	0.009038082427
637	0.009004291009
638	0.008981640692
639	0.008964116375
640	0.008944502031
641	0.008915833853
642	0.00889396833
643	0.008879627343
644	0.008856740263
645	0.008832604797
646	0.008826786169
647	0.008817490604
648	0.008794616218
649	0.008775545491
650	0.008757919073
